starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
27.849,165.27,219.49,1.3287,6.5952,2711.6,80.464,169.93,328.29,43.527,27.248,205.37,220.68,220.64,220.25,220.02,220.23,171.5,85.853,11.043,157.29,50.431,17.525
28.074,165.02,219.49,1.3287,6.7752,2704.8,92,170.24,328.48,39.314,27.893,216.3,229.48,231.04,231.9,231.06,231.12,174.53,85.853,11.048,157.88,50.512,18.988
27.969,166.9,218.08,1.3324,6.9137,2742.1,84.989,170.24,326.73,38.11,26.231,211.48,226.37,225.93,224.99,226.09,225.96,172.93,79.875,11.099,158.13,50.487,18.479
27.995,166.84,218.07,1.3294,6.8892,2743.6,82.102,170.2,325.26,38.092,27.03,207.28,223.12,222.23,222.73,222.41,222.44,169.56,75.625,11.067,157.27,50.487,18.158
28.011,167.71,223.01,1.3294,6.8873,2748.6,79.607,171.38,324.77,39.152,29.392,205.04,220.84,220.66,220.52,220.68,221.04,171.93,76,11.084,157.9,50.389,18.05
28.017,167.13,219.95,1.3287,6.8873,2751.2,80.185,172.75,321.53,39.152,29.161,205.69,220.8,220.03,220.67,220.16,220.83,172.1,75.375,11.07,158.78,50.153,17.937
28.017,168.19,220.35,1.3364,6.8873,2784.2,89.627,168.03,320.96,38.936,29.161,214.74,229.88,229.91,230.15,229.86,229.95,172.1,83.875,11.131,158.08,50.295,18.276
27.964,168.19,219.17,1.3364,6.913,2741.1,91.639,169.53,324.88,38.936,28.974,215.94,231.5,231.54,230.9,231.83,231.66,170.02,86.875,11.123,155.5,50.513,18.769
27.751,168.47,218.29,1.3743,6.9046,2766,92.567,169.55,324.86,37.623,29.175,218.01,232.76,232.81,232.69,233.55,233.79,172.58,88,11.123,155.23,50.394,18.552
27.789,166.45,222.23,1.3743,6.8608,2744.8,89.93,169.55,324.14,35.692,29.175,213.09,229.86,228.87,228.39,229.02,228.59,171.75,83.5,11.103,157.59,50.353,18.145
27.533,156.79,234.63,1.3743,6.579,2586.6,47.549,148.57,324.14,31.771,32.439,173.71,187.85,185.94,187.82,187.27,186.26,150.48,41.761,10.564,147.97,49.578,13.604
25.716,155.42,231.99,1.231,6.2902,2548.8,65.165,166.2,324.35,37.211,25.179,190.38,205.12,206.74,204.96,205.34,205.3,167.13,59.125,10.433,145.39,47.34,17.241
25.721,155.9,232.1,1.231,6.2895,2573.1,67.268,167.39,325.05,32.859,24.434,192.16,207.52,206.66,206.85,207.28,207.15,168.63,63,10.325,146.72,47.08,17.261
